y,x1,x2,x3,x4,x5,x6,x7,x8
18.9,350,165,260,425,4,3910,1,3
17,350,170,275,445,4,3860,1,3
20,250,105,185,290,1,3510,1,3
18.25,351,143,255,398,2,3890,1,3
20.07,225,95,170,265,1,3365,0,3
11.2,440,215,330,545,4,4215,1,3
22.12,231,110,175,285,2,3020,1,3
21.47,262,110,200,310,2,3180,1,3
34.7,89.7,70,81,151,2,1905,0,4
30.4,96.9,75,83,158,2,2320,0,5
16.5,350,155,250,405,4,3885,1,3
36.5,85.3,80,83,163,2,2009,0,4
21.5,171,109,146,255,2,2655,0,4
19.7,258,110,195,305,1,3375,1,3
20.3,140,83,109,192,2,2700,0,4
17.8,302,129,220,349,2,3890,1,3
14.39,500,190,360,550,4,5290,1,3
14.89,440,215,330,545,4,5185,1,3
17.8,350,155,250,405,4,3910,1,3
16.41,318,145,255,400,2,3660,1,3
23.54,231,110,175,285,2,3050,1,3
21.47,360,180,290,470,2,4250,1,3
16.59,400,185,295,480,4,3850,1,3
31.9,96.9,75,83,158,2,2275,0,5
29.4,140,86,90,176,2,2150,0,4
13.27,460,223,366,589,4,5430,1,3
23.9,133.6,96,120,216,2,2535,0,5
19.73,318,140,255,395,2,4370,1,3
13.9,351,148,243,391,2,4540,1,3
13.27,351,148,243,391,2,4715,1,3
13.77,360,195,295,490,4,4215,1,3
16.5,360,165,255,420,4,3660,1,3
