ID	LOGACT21	Dosage	Sex
1	2.636	0	Male
2	2.736	0	Male
3	2.775	0	Male
4	2.672	0	Male
5	2.653	0	Male
6	2.569	0	Male
7	2.737	0	Male
8	2.588	0	Male
9	2.735	0	Male
10	2.444	3	Male
11	2.744	3	Male
12	2.207	3	Male
13	2.851	3	Male
14	2.533	3	Male
15	2.63	3	Male
16	2.688	3	Male
17	2.665	3	Male
18	2.517	3	Male
19	2.769	3	Male
20	2.694	6	Male
21	2.845	6	Male
22	2.865	6	Male
23	3.001	6	Male
24	3.043	6	Male
25	3.066	6	Male
26	2.747	6	Male
27	2.894	6	Male
28	1.851	6	Male
29	2.489	6	Male
30	2.494	0	Female
31	2.723	0	Female
32	2.841	0	Female
33	2.62	0	Female
34	2.682	0	Female
35	2.644	0	Female
36	2.684	0	Female
37	2.607	0	Female
38	2.591	0	Female
39	2.737	0	Female
40	2.22	3	Female
41	2.371	3	Female
42	2.679	3	Female
43	2.591	3	Female
44	2.942	3	Female
45	2.473	3	Female
46	2.814	3	Female
47	2.622	3	Female
48	2.73	3	Female
49	2.955	3	Female
50	2.54	6	Female
51	3.113	6	Female
52	2.468	6	Female
53	2.606	6	Female
54	2.764	6	Female
55	2.859	6	Female
56	2.763	6	Female
57	3	6	Female
58	3.111	6	Female
59	2.858	6	Female
